url,text,tags
https://www.youtube.com/watch?v=Mdy6A-OUxz8&pp=ygUEbWF0aA%3D%3D," Hello everyone, welcome to all of you. Today again I have brought a lot of reasoning questions for you, which are important for you and your exam. So watch the entire video till the end to learn something new. And if you like the video, then like the video and leave a nice comment. And share this video as much as possible so that everyone can learn something new. So let's start today's video.","['Educational', 'math']"
https://www.youtube.com/watch?v=10ObsB229hk&pp=ygUEbWF0aA%3D%3D," Here's a scenario, you have bought something, stock or crypto, but it has dropped, and then dropped some more, and you have decided, I'm gonna hold and hope that the price goes back up so I can get to break even or make a little bit of money. But I want you to consider this math, because the math, while very easy, it hides in plain sight, and I can understand why people sort of just make a false jump in mathematical logic to the wrong conclusion, because at the surface you would think, okay, that's what it is.","['Educational', 'math']"
https://www.youtube.com/watch?v=rx4tSn6vbA8&pp=ygUEbWF0aA%3D%3D," I got a lot of comments telling me to turn off Sharpshooter at 40% shots. This is wrong. If I turn off Sharpshooter here, I do less damage on average. We also call it DPR, Damage Per Round. Don't believe me? Well, let's do some math then. This math is really valuable to know for any Sharpshooter or Great Weapon Master build out there for Baldur's Gate. I highly recommend knowing this.","['Educational', 'math']"
https://www.youtube.com/watch?v=17l8vGy6X7A&pp=ygUEbWF0aA%3D%3D, Multiplication table quiz for kids 11 to 20.,"['Educational', 'math']"
https://www.youtube.com/watch?v=Kp2bYWRQylk&pp=ygUEbWF0aA%3D%3D," Mathematical equations can be quite intimidating if you don't know how to read them. But they don't need to be. It's possible to learn how to make sense of them even if you don't know much algebra. So if, when you see an equation, it looks like a strange alien language, this video is for you.","['Educational', 'math']"
https://www.youtube.com/watch?v=YOlDklc49mY&pp=ygUEbWF0aA%3D%3D," What should we do while sitting? We have to do some work. Come, let me teach you calculation boosters in the name of Dear Sir. Friends, I welcome you all to my channel Dear Sir. Today's video is a very general video. Today, I will not talk about any big formulas. Today, I will not talk about any concept. Today, I will not talk about any chapter. Today, I will give you very small, very basic, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small, small","['Educational', 'math']"
https://www.youtube.com/watch?v=SE700Lc_9pE&pp=ygUEbWF0aA%3D%3D, welcome everyone to my channel today we have a challenge on the board it's matoliped challenge matoliped question so how do we solve this but before then if you're new to this channel kindly subscribe and when you subscribe turn on the bell notification button okay so let's take a look at this question for the day the question says 3 to the power of m minus 2 to the power of m equal to 65 what there will be the possible value of,"['Educational', 'math']"
https://www.youtube.com/watch?v=TRcmWU3n_lQ&pp=ygUEbWF0aA%3D%3D," Which is larger, 50 to the power of 50, or 49 to the power of 51? The question is wonderful. However, the numbers are stupid. Look, the left hand side, 50, the base, 50, exponent as well. The right hand side, the base is 49, and exponent is 51.","['Educational', 'math']"
https://www.youtube.com/watch?v=uONIJ5TQ2DA&pp=ygUEbWF0aA%3D%3D," Move and add, add and move Learning addition is really cool Add and move, move and add","['Educational', 'math']"
https://www.youtube.com/watch?v=40c1avDEhr4&pp=ygUEbWF0aA%3D%3D," Hello friends, welcome to study stage. Today we will learn how to solve the equation. Watch the video till the end because you will get a question at the end. We will solve the question and answer it in the comment box. The first question is 3x square minus 10x plus 8. Let's solve the equation. First write the question. The question is 3x square minus 10x plus 8.","['Educational', 'math']"
https://www.youtube.com/watch?v=9S3FRENg43I&pp=ygUEbWF0aA%3D%3D, Hmm.,"['Educational', 'math']"
https://www.youtube.com/watch?v=ObiqJzfyACM&pp=ygUEbWF0aA%3D%3D," Hey, Vsauce. Michael here. If you rearrange the letters in William Shakespeare, you can spell, here was I, like a psalm. In the King James Bible, in Psalm 46, the 46th word is shake. And the 46th word from the bottom is spear. William Shakespeare was 46 years old when the King James Bible was completed.","['Educational', 'math']"
https://www.youtube.com/watch?v=glZLHLLalv0&pp=ygUEbWF0aA%3D%3D," Within just four years, I went from being a very average student at a bad middle school to becoming the youngest contestant to ever win a medal at the International Physics Olympiad for my country. And a few years later, I landed one of the highest paid internships in Wall Street. And all of this happened because I fundamentally changed the way I think about mathematics.","['Educational', 'math']"
https://www.youtube.com/watch?v=XFDM1ip5HdU&pp=ygUEbWF0aA%3D%3D," Take 1, plus 2, plus 4, plus 8, and continue on and on adding the next power of 2 up to infinity. This might seem crazy, but there's a sense in which this infinite sum equals negative 1. If you're like me, this feels strange or obviously false when you first see it. But I promise you, by the end of this video, you and I will make it make sense.","['Educational', 'math']"
https://www.youtube.com/watch?v=KzfWUEJjG18&pp=ygUEbWF0aA%3D%3D," Hi, I'm Rob. Welcome to Math Antics. In this video, we're gonna learn about how to do math with things that only sometimes happen. They might be likely or unlikely. We're gonna learn about Probability.","['Educational', 'math']"
https://www.youtube.com/watch?v=gJbbXxDoWyA&pp=ygUEbWF0aA%3D%3D, Math riddles are a fun way to train your brain. They combine mind-sharpening math and puzzles that improve analytical thinking. Be very attentive though. Just one slip and you might lose. There are three keys that can open three doors. What is the biggest number of attempts you'll need to figure out the key for each door?,"['Educational', 'math']"
https://www.youtube.com/watch?v=OmJ-4B-mS-Y&pp=ygUEbWF0aA%3D%3D," The mathematics we learn in school doesn't quite do the field of mathematics justice. We only get a glimpse at one corner of it, but mathematics as a whole is a huge and wonderfully diverse subject. My aim with this video is to show you all of that amazing stuff.","['Educational', 'math']"
https://www.youtube.com/watch?v=YOyE3IfEj8w&pp=ygUEbWF0aA%3D%3D," Yo, Mabu, you really the only independent artist putting up numbers right now, bro. They call me the independent variable for a reason, gang. Oh, that's why. I spend eight hours a day in school, and I still put up more numbers than these fleas. Oh, shit. Like, most of y'all rappers are signed to the streets. Only deal that you took was a plea. Mabu, your money, Bali P, shout out my label. That's me. I own 100% of my cuts.","['Educational', 'math']"
https://www.youtube.com/watch?v=bOCHTHkBoAs&pp=ygUEbWF0aA%3D%3D," People often say you don't need to know any math to program a computer, and that's truthy. However, any sufficiently advanced technology is indistinguishable from magic. But magic isn't real. Math explains it all. Developers often avoid learning math because it looks scary, but it actually makes complicated magic like computer graphics and neural networks easier to understand. And not just that, but it unlocks the secrets of the entire physical universe. There's a few abstract math concepts for programmers that you just can't ignore.","['Educational', 'math']"
https://www.youtube.com/watch?v=nmsrfqVcidQ&pp=ygUEbWF0aA%3D%3D," Welcome to Southern Math. Oh, question? No, more of a fact. Math is just math. Give me a couple reasons why you think that. Well, numbers are pretty much the same everywhere. I mean, one plus one is always gonna be two. Go on, with what? There's nothing left to say? Yeah, but I asked for a couple reasons and you only gave me two.","['Educational', 'math']"
https://www.youtube.com/watch?v=dRj3X7IFCjY&pp=ygUEbWF0aA%3D%3D," What up AVG crew today we are well, I am showing DJ animation versus math. I know nothing about this No, he didn't even know the title. Ah The number one yes where it all begins indeed This is straight-up math, okay. Yeah. Oh, wow. Okay, it's straight up math. Oh","['Educational', 'math']"
https://www.youtube.com/watch?v=DlvY_K12Tx0&pp=ygUEbWF0aA%3D%3D," 10 plug board cables, that's... 1,000,000. I've got it. It's million, million. It's in the millions, obviously. It's over 150 million, million, million possible settings. Very good. 159, if you want to be exact about it. 159, with 18 zeros behind it. You see, there are patterns in everything. The colour in light. The reflections on water. In maths,","['Educational', 'math']"
